State,HeartAttackPCI,HeartFailureACE,HeartFailureDischarge,PneumoniaComposite,PneumoniaCultures,PneumoniaDose6Hrs,PneumoniaRightAntibiotic,PneumoniaInfluenza,PneumoniaPneumovax,SurgeryAntibioticTiming,SurgeryRightAntibiotic,SurgeryGlucoseControlled,SurgeryHairRemoved,SurgeryPreventClots,SurgeryBetaBlocker,SurgeryCatheterRemoved,SurgeryTemperature,AMIDeaths,CHFDeaths,AAARepairDeaths,CABGDeaths,PTCADeaths,PneumoniaDeaths,PSIBirthTrauma,PSIOBTraumaNoInstument,PSIOBTraumaInstrument,PSIPostopSepsis,PSIPneumothorax,PSILowMortDeaths
South Carolina,94.6,95.6,89.6,95.2,96.8,95.9,93.6,93.3,95.3,96.8,98,96.3,99.7,95.8,95.7,93.4,99.5,52.5,27.7,46.3,17,13.5,29.1,1.5,21.9,127.1,13.2,1,0.46
South Dakota,88.6,91.3,87,93.3,93.9,95.5,89.6,92.1,94,96.8,97.9,96.3,99.8,92.7,92.9,89.7,97,58.6,33.4,,,11.7,33.9,2.2,20.3,154.6,,0.9,0.54
Tennessee,92.9,95.6,89.2,95.5,97.3,96.7,93.4,93.6,95.4,96.5,97.5,93.8,99.7,94.9,94.5,90.7,99.3,51.7,25.6,35.2,21.4,11.9,28.3,2.3,25.5,140.5,16.1,1.3,0.5
Texas,90.4,95.2,90.7,94.7,96.4,95.7,92.1,93.6,94.5,96.2,97.6,92.2,99.6,93.8,93.6,90.5,98.8,53.7,22,40.1,25.6,13.5,26.1,,,,,,
Utah,92.6,95.5,91.8,95.9,96.5,97.2,93.7,95.2,96.1,96.3,97.7,95.6,99.4,92.8,88.9,86.9,98.2,59.6,29.1,,24.6,13.6,24.9,1.6,16.3,112.1,18.9,1,0.4
Vermont,,96.2,89.3,96,96.4,97,95.8,94.8,95.8,97.6,98.3,97,99.9,95.7,92.1,96.5,98.9,61.3,31.6,,32,13.4,30.3,3.4,26.1,181.8,,1.1,0.76
Virginia,94,97,93.2,95.6,97,96.1,94.5,93.8,95.6,97.3,98.2,96.5,99.8,95.9,95.9,93.2,99.5,54.5,23.7,33,23.4,12.5,29,2.2,25.6,160.5,15.8,1.2,0.34
Washington,90.9,95.2,86.3,94.8,95.6,95.8,94.8,92.7,94.5,96.6,97.9,94.5,99.8,95.3,93.9,88.3,99.5,52.5,23.7,51.1,23.8,15.9,23,2.1,25.6,154,15.2,1.4,0.24
West Virginia,85.2,91.2,85.6,92.6,94.7,94.3,89.7,90.9,91.9,96.1,97.3,92.6,99.5,93.3,94.2,91.4,98.5,61.8,26.3,50.6,24.2,15.2,33.6,2,18.5,127.1,15.9,1.4,0.62
Wisconsin,89.2,95.5,87.1,94.9,97.1,97.5,93.4,91.5,93.7,96.7,98.3,93.4,99.8,94.5,93.5,92,99.2,53.8,23.2,39.8,19.8,11.2,26.1,2.2,21,156.4,9.9,1.4,0.34
Wyoming,89.7,89.5,83.7,93.3,95.2,96.2,92.9,89.9,90.3,95.4,96.7,93,99.7,91.6,83.3,87.8,98.5,87.8,47.5,,,16.6,37.6,3.1,19.5,137.6,,0.9,
